1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: FE0000005FBD1921
Is Mission Active?  true
Mission Start:  Mon Jul 18 12:14:00 PDT 2022
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  869
Total Samples:  959
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/19/22 12:44:00 PM,C,3
7/19/22 12:54:00 PM,C,3.5
7/19/22 1:04:00 PM,C,3
7/19/22 1:14:00 PM,C,3.5
7/19/22 1:24:00 PM,C,3.5
7/19/22 1:34:00 PM,C,3.5
7/19/22 1:44:00 PM,C,3.5
7/19/22 1:54:00 PM,C,3
7/19/22 2:04:00 PM,C,3
7/19/22 2:14:00 PM,C,3
7/19/22 2:24:00 PM,C,3
7/19/22 2:34:00 PM,C,3
7/19/22 2:44:00 PM,C,3
7/19/22 2:54:00 PM,C,3
7/19/22 3:04:00 PM,C,3
7/19/22 3:14:00 PM,C,3
7/19/22 3:24:00 PM,C,3
7/19/22 3:34:00 PM,C,3
7/19/22 3:44:00 PM,C,3
7/19/22 3:54:00 PM,C,3
7/19/22 4:04:00 PM,C,3
7/19/22 4:14:00 PM,C,3
7/19/22 4:24:00 PM,C,3
7/19/22 4:34:00 PM,C,3
7/19/22 4:44:00 PM,C,3
7/19/22 4:54:00 PM,C,3
7/19/22 5:04:00 PM,C,3
7/19/22 5:14:00 PM,C,3
7/19/22 5:24:00 PM,C,3
7/19/22 5:34:00 PM,C,3
7/19/22 5:44:00 PM,C,3
7/19/22 5:54:00 PM,C,3
7/19/22 6:04:00 PM,C,3
7/19/22 6:14:00 PM,C,3
7/19/22 6:24:00 PM,C,3
7/19/22 6:34:00 PM,C,3
7/19/22 6:44:00 PM,C,3
7/19/22 6:54:00 PM,C,3
7/19/22 7:04:00 PM,C,3
7/19/22 7:14:00 PM,C,3
7/19/22 7:24:00 PM,C,3
7/19/22 7:34:00 PM,C,3
7/19/22 7:44:00 PM,C,3
7/19/22 7:54:00 PM,C,3
7/19/22 8:04:00 PM,C,3
7/19/22 8:14:00 PM,C,3
7/19/22 8:24:00 PM,C,3
7/19/22 8:34:00 PM,C,3
7/19/22 8:44:00 PM,C,3
7/19/22 8:54:00 PM,C,3
7/19/22 9:04:00 PM,C,3
7/19/22 9:14:00 PM,C,3
7/19/22 9:24:00 PM,C,3
7/19/22 9:34:00 PM,C,3
7/19/22 9:44:00 PM,C,3
7/19/22 9:54:00 PM,C,3
7/19/22 10:04:00 PM,C,2.5
7/19/22 10:14:00 PM,C,3
7/19/22 10:24:00 PM,C,3
7/19/22 10:34:00 PM,C,3
7/19/22 10:44:00 PM,C,2.5
7/19/22 10:54:00 PM,C,3
7/19/22 11:04:00 PM,C,3
7/19/22 11:14:00 PM,C,3
7/19/22 11:24:00 PM,C,3
7/19/22 11:34:00 PM,C,3
7/19/22 11:44:00 PM,C,3
7/19/22 11:54:00 PM,C,3
7/20/22 12:04:00 AM,C,3
7/20/22 12:14:00 AM,C,3
7/20/22 12:24:00 AM,C,3
7/20/22 12:34:00 AM,C,3
7/20/22 12:44:00 AM,C,2.5
7/20/22 12:54:00 AM,C,2.5
7/20/22 1:04:00 AM,C,2.5
7/20/22 1:14:00 AM,C,2.5
7/20/22 1:24:00 AM,C,2.5
7/20/22 1:34:00 AM,C,2.5
7/20/22 1:44:00 AM,C,2.5
7/20/22 1:54:00 AM,C,2.5
7/20/22 2:04:00 AM,C,2
7/20/22 2:14:00 AM,C,2
7/20/22 2:24:00 AM,C,2
7/20/22 2:34:00 AM,C,2
7/20/22 2:44:00 AM,C,2
7/20/22 2:54:00 AM,C,2
7/20/22 3:04:00 AM,C,2
7/20/22 3:14:00 AM,C,2
7/20/22 3:24:00 AM,C,1.5
7/20/22 3:34:00 AM,C,1.5
7/20/22 3:44:00 AM,C,1.5
7/20/22 3:54:00 AM,C,1.5
7/20/22 4:04:00 AM,C,1.5
7/20/22 4:14:00 AM,C,1.5
7/20/22 4:24:00 AM,C,1.5
7/20/22 4:34:00 AM,C,1.5
7/20/22 4:44:00 AM,C,1.5
7/20/22 4:54:00 AM,C,1.5
7/20/22 5:04:00 AM,C,1.5
7/20/22 5:14:00 AM,C,1.5
7/20/22 5:24:00 AM,C,1.5
7/20/22 5:34:00 AM,C,1.5
7/20/22 5:44:00 AM,C,1.5
7/20/22 5:54:00 AM,C,1.5
7/20/22 6:04:00 AM,C,1.5
7/20/22 6:14:00 AM,C,1.5
7/20/22 6:24:00 AM,C,1.5
7/20/22 6:34:00 AM,C,1.5
7/20/22 6:44:00 AM,C,1.5
7/20/22 6:54:00 AM,C,1.5
7/20/22 7:04:00 AM,C,2
7/20/22 7:14:00 AM,C,2
7/20/22 7:24:00 AM,C,2
7/20/22 7:34:00 AM,C,2
7/20/22 7:44:00 AM,C,2
7/20/22 7:54:00 AM,C,2
7/20/22 8:04:00 AM,C,2
7/20/22 8:14:00 AM,C,2
7/20/22 8:24:00 AM,C,2
7/20/22 8:34:00 AM,C,2
7/20/22 8:44:00 AM,C,2
7/20/22 8:54:00 AM,C,2
7/20/22 9:04:00 AM,C,2
7/20/22 9:14:00 AM,C,1.5
7/20/22 9:24:00 AM,C,2
7/20/22 9:34:00 AM,C,1.5
7/20/22 9:44:00 AM,C,2
7/20/22 9:54:00 AM,C,2
7/20/22 10:04:00 AM,C,2
7/20/22 10:14:00 AM,C,2
7/20/22 10:24:00 AM,C,2.5
7/20/22 10:34:00 AM,C,2.5
7/20/22 10:44:00 AM,C,2
7/20/22 10:54:00 AM,C,2.5
7/20/22 11:04:00 AM,C,2.5
7/20/22 11:14:00 AM,C,2.5
7/20/22 11:24:00 AM,C,2.5
7/20/22 11:34:00 AM,C,2.5
7/20/22 11:44:00 AM,C,2.5
7/20/22 11:54:00 AM,C,2.5
7/20/22 12:04:00 PM,C,2.5
7/20/22 12:14:00 PM,C,3
7/20/22 12:24:00 PM,C,3
7/20/22 12:34:00 PM,C,2.5
7/20/22 12:44:00 PM,C,2.5
7/20/22 12:54:00 PM,C,2.5
7/20/22 1:04:00 PM,C,2.5
7/20/22 1:14:00 PM,C,2
7/20/22 1:24:00 PM,C,2.5
7/20/22 1:34:00 PM,C,2.5
7/20/22 1:44:00 PM,C,3
7/20/22 1:54:00 PM,C,2
7/20/22 2:04:00 PM,C,2
7/20/22 2:14:00 PM,C,2
7/20/22 2:24:00 PM,C,2
7/20/22 2:34:00 PM,C,2
7/20/22 2:44:00 PM,C,2
7/20/22 2:54:00 PM,C,2
7/20/22 3:04:00 PM,C,2
7/20/22 3:14:00 PM,C,2
7/20/22 3:24:00 PM,C,2
7/20/22 3:34:00 PM,C,1.5
7/20/22 3:44:00 PM,C,1.5
7/20/22 3:54:00 PM,C,2
7/20/22 4:04:00 PM,C,1.5
7/20/22 4:14:00 PM,C,2
7/20/22 4:24:00 PM,C,2
7/20/22 4:34:00 PM,C,2
7/20/22 4:44:00 PM,C,2
7/20/22 4:54:00 PM,C,2
7/20/22 5:04:00 PM,C,2
7/20/22 5:14:00 PM,C,2
7/20/22 5:24:00 PM,C,2
7/20/22 5:34:00 PM,C,1.5
7/20/22 5:44:00 PM,C,1.5
7/20/22 5:54:00 PM,C,1
7/20/22 6:04:00 PM,C,1.5
7/20/22 6:14:00 PM,C,1.5
7/20/22 6:24:00 PM,C,2
7/20/22 6:34:00 PM,C,1.5
7/20/22 6:44:00 PM,C,1.5
7/20/22 6:54:00 PM,C,1.5
7/20/22 7:04:00 PM,C,2
7/20/22 7:14:00 PM,C,2
7/20/22 7:24:00 PM,C,2
7/20/22 7:34:00 PM,C,2
7/20/22 7:44:00 PM,C,1.5
7/20/22 7:54:00 PM,C,1.5
7/20/22 8:04:00 PM,C,1.5
7/20/22 8:14:00 PM,C,1.5
7/20/22 8:24:00 PM,C,1.5
7/20/22 8:34:00 PM,C,1.5
7/20/22 8:44:00 PM,C,1.5
7/20/22 8:54:00 PM,C,1.5
7/20/22 9:04:00 PM,C,1.5
7/20/22 9:14:00 PM,C,1.5
7/20/22 9:24:00 PM,C,1.5
7/20/22 9:34:00 PM,C,1.5
7/20/22 9:44:00 PM,C,1.5
7/20/22 9:54:00 PM,C,1.5
7/20/22 10:04:00 PM,C,1.5
7/20/22 10:14:00 PM,C,1.5
7/20/22 10:24:00 PM,C,1.5
7/20/22 10:34:00 PM,C,1.5
7/20/22 10:44:00 PM,C,1.5
7/20/22 10:54:00 PM,C,1.5
7/20/22 11:04:00 PM,C,1.5
7/20/22 11:14:00 PM,C,1.5
7/20/22 11:24:00 PM,C,1.5
7/20/22 11:34:00 PM,C,1.5
7/20/22 11:44:00 PM,C,1.5
7/20/22 11:54:00 PM,C,2
7/21/22 12:04:00 AM,C,2
7/21/22 12:14:00 AM,C,2
7/21/22 12:24:00 AM,C,2
7/21/22 12:34:00 AM,C,2
7/21/22 12:44:00 AM,C,2
7/21/22 12:54:00 AM,C,2
7/21/22 1:04:00 AM,C,2
7/21/22 1:14:00 AM,C,2
7/21/22 1:24:00 AM,C,2
7/21/22 1:34:00 AM,C,2
7/21/22 1:44:00 AM,C,2
7/21/22 1:54:00 AM,C,2
7/21/22 2:04:00 AM,C,2
7/21/22 2:14:00 AM,C,2
7/21/22 2:24:00 AM,C,2
7/21/22 2:34:00 AM,C,2
7/21/22 2:44:00 AM,C,2
7/21/22 2:54:00 AM,C,2
7/21/22 3:04:00 AM,C,2
7/21/22 3:14:00 AM,C,2
7/21/22 3:24:00 AM,C,2
7/21/22 3:34:00 AM,C,2
7/21/22 3:44:00 AM,C,2
7/21/22 3:54:00 AM,C,2
7/21/22 4:04:00 AM,C,2
7/21/22 4:14:00 AM,C,2
7/21/22 4:24:00 AM,C,2
7/21/22 4:34:00 AM,C,2
7/21/22 4:44:00 AM,C,2
7/21/22 4:54:00 AM,C,2
7/21/22 5:04:00 AM,C,2
7/21/22 5:14:00 AM,C,2
7/21/22 5:24:00 AM,C,2
7/21/22 5:34:00 AM,C,2
7/21/22 5:44:00 AM,C,2.5
7/21/22 5:54:00 AM,C,2.5
7/21/22 6:04:00 AM,C,2.5
7/21/22 6:14:00 AM,C,2.5
7/21/22 6:24:00 AM,C,2.5
7/21/22 6:34:00 AM,C,2.5
7/21/22 6:44:00 AM,C,2.5
7/21/22 6:54:00 AM,C,2.5
7/21/22 7:04:00 AM,C,2.5
7/21/22 7:14:00 AM,C,2.5
7/21/22 7:24:00 AM,C,2.5
7/21/22 7:34:00 AM,C,2.5
7/21/22 7:44:00 AM,C,3
7/21/22 7:54:00 AM,C,3
7/21/22 8:04:00 AM,C,3
7/21/22 8:14:00 AM,C,3
7/21/22 8:24:00 AM,C,3
7/21/22 8:34:00 AM,C,3.5
7/21/22 8:44:00 AM,C,3.5
7/21/22 8:54:00 AM,C,3.5
7/21/22 9:04:00 AM,C,3.5
7/21/22 9:14:00 AM,C,3.5
7/21/22 9:24:00 AM,C,4
7/21/22 9:34:00 AM,C,4
7/21/22 9:44:00 AM,C,4
7/21/22 9:54:00 AM,C,4.5
7/21/22 10:04:00 AM,C,4.5
7/21/22 10:14:00 AM,C,4.5
7/21/22 10:24:00 AM,C,4
7/21/22 10:34:00 AM,C,4.5
7/21/22 10:44:00 AM,C,4.5
7/21/22 10:54:00 AM,C,4.5
7/21/22 11:04:00 AM,C,5
7/21/22 11:14:00 AM,C,4.5
7/21/22 11:24:00 AM,C,4.5
7/21/22 11:34:00 AM,C,5
7/21/22 11:44:00 AM,C,5.5
7/21/22 11:54:00 AM,C,5.5
7/21/22 12:04:00 PM,C,6
7/21/22 12:14:00 PM,C,5
7/21/22 12:24:00 PM,C,6
7/21/22 12:34:00 PM,C,6
7/21/22 12:44:00 PM,C,5.5
7/21/22 12:54:00 PM,C,5.5
7/21/22 1:04:00 PM,C,5.5
7/21/22 1:14:00 PM,C,5.5
7/21/22 1:24:00 PM,C,5.5
7/21/22 1:34:00 PM,C,6
7/21/22 1:44:00 PM,C,6
7/21/22 1:54:00 PM,C,6
7/21/22 2:04:00 PM,C,6
7/21/22 2:14:00 PM,C,6.5
7/21/22 2:24:00 PM,C,6.5
7/21/22 2:34:00 PM,C,7
7/21/22 2:44:00 PM,C,6
7/21/22 2:54:00 PM,C,5.5
7/21/22 3:04:00 PM,C,5.5
7/21/22 3:14:00 PM,C,5.5
7/21/22 3:24:00 PM,C,5
7/21/22 3:34:00 PM,C,5.5
7/21/22 3:44:00 PM,C,5.5
7/21/22 3:54:00 PM,C,5.5
7/21/22 4:04:00 PM,C,5.5
7/21/22 4:14:00 PM,C,5
7/21/22 4:24:00 PM,C,5
7/21/22 4:34:00 PM,C,5
7/21/22 4:44:00 PM,C,5
7/21/22 4:54:00 PM,C,6
7/21/22 5:04:00 PM,C,5.5
7/21/22 5:14:00 PM,C,5.5
7/21/22 5:24:00 PM,C,5
7/21/22 5:34:00 PM,C,5
7/21/22 5:44:00 PM,C,5
7/21/22 5:54:00 PM,C,5.5
7/21/22 6:04:00 PM,C,5.5
7/21/22 6:14:00 PM,C,5.5
7/21/22 6:24:00 PM,C,5.5
7/21/22 6:34:00 PM,C,5
7/21/22 6:44:00 PM,C,5
7/21/22 6:54:00 PM,C,5
7/21/22 7:04:00 PM,C,5
7/21/22 7:14:00 PM,C,5.5
7/21/22 7:24:00 PM,C,5.5
7/21/22 7:34:00 PM,C,5
7/21/22 7:44:00 PM,C,5.5
7/21/22 7:54:00 PM,C,5
7/21/22 8:04:00 PM,C,5
7/21/22 8:14:00 PM,C,5
7/21/22 8:24:00 PM,C,5
7/21/22 8:34:00 PM,C,5
7/21/22 8:44:00 PM,C,5
7/21/22 8:54:00 PM,C,4.5
7/21/22 9:04:00 PM,C,4.5
7/21/22 9:14:00 PM,C,4.5
7/21/22 9:24:00 PM,C,4.5
7/21/22 9:34:00 PM,C,4.5
7/21/22 9:44:00 PM,C,4.5
7/21/22 9:54:00 PM,C,4
7/21/22 10:04:00 PM,C,4
7/21/22 10:14:00 PM,C,4
7/21/22 10:24:00 PM,C,4
7/21/22 10:34:00 PM,C,3.5
7/21/22 10:44:00 PM,C,3.5
7/21/22 10:54:00 PM,C,3.5
7/21/22 11:04:00 PM,C,3.5
7/21/22 11:14:00 PM,C,3.5
7/21/22 11:24:00 PM,C,3.5
7/21/22 11:34:00 PM,C,3.5
7/21/22 11:44:00 PM,C,3.5
7/21/22 11:54:00 PM,C,3.5
7/22/22 12:04:00 AM,C,3.5
7/22/22 12:14:00 AM,C,3.5
7/22/22 12:24:00 AM,C,3.5
7/22/22 12:34:00 AM,C,3.5
7/22/22 12:44:00 AM,C,3.5
7/22/22 12:54:00 AM,C,3.5
7/22/22 1:04:00 AM,C,3.5
7/22/22 1:14:00 AM,C,3.5
7/22/22 1:24:00 AM,C,3.5
7/22/22 1:34:00 AM,C,3.5
7/22/22 1:44:00 AM,C,3.5
7/22/22 1:54:00 AM,C,3.5
7/22/22 2:04:00 AM,C,3.5
7/22/22 2:14:00 AM,C,3.5
7/22/22 2:24:00 AM,C,3.5
7/22/22 2:34:00 AM,C,3.5
7/22/22 2:44:00 AM,C,3.5
7/22/22 2:54:00 AM,C,3.5
7/22/22 3:04:00 AM,C,3.5
7/22/22 3:14:00 AM,C,3.5
7/22/22 3:24:00 AM,C,3.5
7/22/22 3:34:00 AM,C,3
7/22/22 3:44:00 AM,C,3
7/22/22 3:54:00 AM,C,3
7/22/22 4:04:00 AM,C,3
7/22/22 4:14:00 AM,C,3
7/22/22 4:24:00 AM,C,3
7/22/22 4:34:00 AM,C,3
7/22/22 4:44:00 AM,C,3
7/22/22 4:54:00 AM,C,3
7/22/22 5:04:00 AM,C,3
7/22/22 5:14:00 AM,C,3
7/22/22 5:24:00 AM,C,3
7/22/22 5:34:00 AM,C,3.5
7/22/22 5:44:00 AM,C,3.5
7/22/22 5:54:00 AM,C,3.5
7/22/22 6:04:00 AM,C,3.5
7/22/22 6:14:00 AM,C,3.5
7/22/22 6:24:00 AM,C,3.5
7/22/22 6:34:00 AM,C,3
7/22/22 6:44:00 AM,C,3
7/22/22 6:54:00 AM,C,3
7/22/22 7:04:00 AM,C,3
7/22/22 7:14:00 AM,C,3
7/22/22 7:24:00 AM,C,3.5
7/22/22 7:34:00 AM,C,3.5
7/22/22 7:44:00 AM,C,3.5
7/22/22 7:54:00 AM,C,4
7/22/22 8:04:00 AM,C,4
7/22/22 8:14:00 AM,C,4
7/22/22 8:24:00 AM,C,4
7/22/22 8:34:00 AM,C,3.5
7/22/22 8:44:00 AM,C,3.5
7/22/22 8:54:00 AM,C,3.5
7/22/22 9:04:00 AM,C,3.5
7/22/22 9:14:00 AM,C,3.5
7/22/22 9:24:00 AM,C,4
7/22/22 9:34:00 AM,C,4
7/22/22 9:44:00 AM,C,4
7/22/22 9:54:00 AM,C,4.5
7/22/22 10:04:00 AM,C,4
7/22/22 10:14:00 AM,C,3.5
7/22/22 10:24:00 AM,C,3
7/22/22 10:34:00 AM,C,3
7/22/22 10:44:00 AM,C,3.5
7/22/22 10:54:00 AM,C,3.5
7/22/22 11:04:00 AM,C,3.5
7/22/22 11:14:00 AM,C,3.5
7/22/22 11:24:00 AM,C,4
7/22/22 11:34:00 AM,C,3.5
7/22/22 11:44:00 AM,C,3.5
7/22/22 11:54:00 AM,C,3.5
7/22/22 12:04:00 PM,C,3.5
7/22/22 12:14:00 PM,C,3.5
7/22/22 12:24:00 PM,C,4
7/22/22 12:34:00 PM,C,3.5
7/22/22 12:44:00 PM,C,4
7/22/22 12:54:00 PM,C,3.5
7/22/22 1:04:00 PM,C,4
7/22/22 1:14:00 PM,C,4
7/22/22 1:24:00 PM,C,4
7/22/22 1:34:00 PM,C,4
7/22/22 1:44:00 PM,C,4
7/22/22 1:54:00 PM,C,4
7/22/22 2:04:00 PM,C,4
7/22/22 2:14:00 PM,C,4
7/22/22 2:24:00 PM,C,4
7/22/22 2:34:00 PM,C,4
7/22/22 2:44:00 PM,C,4
7/22/22 2:54:00 PM,C,4
7/22/22 3:04:00 PM,C,3.5
7/22/22 3:14:00 PM,C,3.5
7/22/22 3:24:00 PM,C,4
7/22/22 3:34:00 PM,C,3.5
7/22/22 3:44:00 PM,C,4
7/22/22 3:54:00 PM,C,4
7/22/22 4:04:00 PM,C,4
7/22/22 4:14:00 PM,C,3.5
7/22/22 4:24:00 PM,C,3.5
7/22/22 4:34:00 PM,C,4
7/22/22 4:44:00 PM,C,3.5
7/22/22 4:54:00 PM,C,3.5
7/22/22 5:04:00 PM,C,3.5
7/22/22 5:14:00 PM,C,3.5
7/22/22 5:24:00 PM,C,3.5
7/22/22 5:34:00 PM,C,3
7/22/22 5:44:00 PM,C,3
7/22/22 5:54:00 PM,C,3
7/22/22 6:04:00 PM,C,3
7/22/22 6:14:00 PM,C,3
7/22/22 6:24:00 PM,C,2.5
7/22/22 6:34:00 PM,C,3
7/22/22 6:44:00 PM,C,2.5
7/22/22 6:54:00 PM,C,2.5
7/22/22 7:04:00 PM,C,2.5
7/22/22 7:14:00 PM,C,2.5
7/22/22 7:24:00 PM,C,2.5
7/22/22 7:34:00 PM,C,2.5
7/22/22 7:44:00 PM,C,2.5
7/22/22 7:54:00 PM,C,2.5
7/22/22 8:04:00 PM,C,2
7/22/22 8:14:00 PM,C,2.5
7/22/22 8:24:00 PM,C,2
7/22/22 8:34:00 PM,C,2
7/22/22 8:44:00 PM,C,2
7/22/22 8:54:00 PM,C,2
7/22/22 9:04:00 PM,C,2
7/22/22 9:14:00 PM,C,2
7/22/22 9:24:00 PM,C,2
7/22/22 9:34:00 PM,C,2
7/22/22 9:44:00 PM,C,2
7/22/22 9:54:00 PM,C,2
7/22/22 10:04:00 PM,C,2
7/22/22 10:14:00 PM,C,2
7/22/22 10:24:00 PM,C,2
7/22/22 10:34:00 PM,C,2
7/22/22 10:44:00 PM,C,2
7/22/22 10:54:00 PM,C,2
7/22/22 11:04:00 PM,C,2
7/22/22 11:14:00 PM,C,2
7/22/22 11:24:00 PM,C,2
7/22/22 11:34:00 PM,C,2
7/22/22 11:44:00 PM,C,2
7/22/22 11:54:00 PM,C,2
7/23/22 12:04:00 AM,C,2
7/23/22 12:14:00 AM,C,2
7/23/22 12:24:00 AM,C,2
7/23/22 12:34:00 AM,C,2
7/23/22 12:44:00 AM,C,2
7/23/22 12:54:00 AM,C,2
7/23/22 1:04:00 AM,C,2
7/23/22 1:14:00 AM,C,2.5
7/23/22 1:24:00 AM,C,2.5
7/23/22 1:34:00 AM,C,2.5
7/23/22 1:44:00 AM,C,2.5
7/23/22 1:54:00 AM,C,2.5
7/23/22 2:04:00 AM,C,2.5
7/23/22 2:14:00 AM,C,2.5
7/23/22 2:24:00 AM,C,2.5
7/23/22 2:34:00 AM,C,2.5
7/23/22 2:44:00 AM,C,2.5
7/23/22 2:54:00 AM,C,2.5
7/23/22 3:04:00 AM,C,2.5
7/23/22 3:14:00 AM,C,2.5
7/23/22 3:24:00 AM,C,2.5
7/23/22 3:34:00 AM,C,2.5
7/23/22 3:44:00 AM,C,2.5
7/23/22 3:54:00 AM,C,2.5
7/23/22 4:04:00 AM,C,2.5
7/23/22 4:14:00 AM,C,2.5
7/23/22 4:24:00 AM,C,2.5
7/23/22 4:34:00 AM,C,2.5
7/23/22 4:44:00 AM,C,2.5
7/23/22 4:54:00 AM,C,2.5
