1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: AA0000005FCA2E21
Is Mission Active?  true
Mission Start:  Sun Jul 23 09:04:00 AKDT 2023
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  329
Total Samples:  14529
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/24/23 9:44:00 AM,C,5
7/24/23 9:54:00 AM,C,5
7/24/23 10:04:00 AM,C,4.5
7/24/23 10:14:00 AM,C,5
7/24/23 10:24:00 AM,C,5
7/24/23 10:34:00 AM,C,5
7/24/23 10:44:00 AM,C,5.5
7/24/23 10:54:00 AM,C,6
7/24/23 11:04:00 AM,C,5.5
7/24/23 11:14:00 AM,C,5.5
7/24/23 11:24:00 AM,C,5.5
7/24/23 11:34:00 AM,C,6
7/24/23 11:44:00 AM,C,6.5
7/24/23 11:54:00 AM,C,6.5
7/24/23 12:04:00 PM,C,6.5
7/24/23 12:14:00 PM,C,7
7/24/23 12:24:00 PM,C,7.5
7/24/23 12:34:00 PM,C,7.5
7/24/23 12:44:00 PM,C,8
7/24/23 12:54:00 PM,C,8.5
7/24/23 1:04:00 PM,C,9
7/24/23 1:14:00 PM,C,9.5
7/24/23 1:24:00 PM,C,10
7/24/23 1:34:00 PM,C,9.5
7/24/23 1:44:00 PM,C,9.5
7/24/23 1:54:00 PM,C,9.5
7/24/23 2:04:00 PM,C,10
7/24/23 2:14:00 PM,C,10.5
7/24/23 2:24:00 PM,C,10.5
7/24/23 2:34:00 PM,C,10.5
7/24/23 2:44:00 PM,C,10.5
7/24/23 2:54:00 PM,C,10
7/24/23 3:04:00 PM,C,10
7/24/23 3:14:00 PM,C,10.5
7/24/23 3:24:00 PM,C,11.5
7/24/23 3:34:00 PM,C,11
7/24/23 3:44:00 PM,C,11
7/24/23 3:54:00 PM,C,10.5
7/24/23 4:04:00 PM,C,10
7/24/23 4:14:00 PM,C,10
7/24/23 4:24:00 PM,C,9.5
7/24/23 4:34:00 PM,C,9.5
7/24/23 4:44:00 PM,C,9
7/24/23 4:54:00 PM,C,9.5
7/24/23 5:04:00 PM,C,9.5
7/24/23 5:14:00 PM,C,9
7/24/23 5:24:00 PM,C,9
7/24/23 5:34:00 PM,C,9.5
7/24/23 5:44:00 PM,C,9
7/24/23 5:54:00 PM,C,9.5
7/24/23 6:04:00 PM,C,9.5
7/24/23 6:14:00 PM,C,9.5
7/24/23 6:24:00 PM,C,10
7/24/23 6:34:00 PM,C,10
7/24/23 6:44:00 PM,C,9.5
7/24/23 6:54:00 PM,C,9
7/24/23 7:04:00 PM,C,8.5
7/24/23 7:14:00 PM,C,8
7/24/23 7:24:00 PM,C,7.5
7/24/23 7:34:00 PM,C,7
7/24/23 7:44:00 PM,C,6.5
7/24/23 7:54:00 PM,C,6.5
7/24/23 8:04:00 PM,C,6
7/24/23 8:14:00 PM,C,6.5
7/24/23 8:24:00 PM,C,6.5
7/24/23 8:34:00 PM,C,6.5
7/24/23 8:44:00 PM,C,6.5
7/24/23 8:54:00 PM,C,6.5
7/24/23 9:04:00 PM,C,6.5
7/24/23 9:14:00 PM,C,6
7/24/23 9:24:00 PM,C,5.5
7/24/23 9:34:00 PM,C,5
7/24/23 9:44:00 PM,C,5
7/24/23 9:54:00 PM,C,5
7/24/23 10:04:00 PM,C,4.5
7/24/23 10:14:00 PM,C,4.5
7/24/23 10:24:00 PM,C,4.5
7/24/23 10:34:00 PM,C,4.5
7/24/23 10:44:00 PM,C,4.5
7/24/23 10:54:00 PM,C,4
7/24/23 11:04:00 PM,C,4
7/24/23 11:14:00 PM,C,4
7/24/23 11:24:00 PM,C,4
7/24/23 11:34:00 PM,C,4
7/24/23 11:44:00 PM,C,4
7/24/23 11:54:00 PM,C,4
7/25/23 12:04:00 AM,C,3.5
7/25/23 12:14:00 AM,C,3.5
7/25/23 12:24:00 AM,C,3.5
7/25/23 12:34:00 AM,C,3.5
7/25/23 12:44:00 AM,C,3.5
7/25/23 12:54:00 AM,C,4
7/25/23 1:04:00 AM,C,3.5
7/25/23 1:14:00 AM,C,3.5
7/25/23 1:24:00 AM,C,3
7/25/23 1:34:00 AM,C,3
7/25/23 1:44:00 AM,C,3
7/25/23 1:54:00 AM,C,3
7/25/23 2:04:00 AM,C,3
7/25/23 2:14:00 AM,C,3
7/25/23 2:24:00 AM,C,3
7/25/23 2:34:00 AM,C,3
7/25/23 2:44:00 AM,C,3
7/25/23 2:54:00 AM,C,3
7/25/23 3:04:00 AM,C,3
7/25/23 3:14:00 AM,C,3
7/25/23 3:24:00 AM,C,3
7/25/23 3:34:00 AM,C,3
7/25/23 3:44:00 AM,C,3
7/25/23 3:54:00 AM,C,3
7/25/23 4:04:00 AM,C,3
7/25/23 4:14:00 AM,C,3
7/25/23 4:24:00 AM,C,2.5
7/25/23 4:34:00 AM,C,2.5
7/25/23 4:44:00 AM,C,2.5
7/25/23 4:54:00 AM,C,2.5
7/25/23 5:04:00 AM,C,2.5
7/25/23 5:14:00 AM,C,2.5
7/25/23 5:24:00 AM,C,2.5
7/25/23 5:34:00 AM,C,2.5
7/25/23 5:44:00 AM,C,2.5
7/25/23 5:54:00 AM,C,2.5
7/25/23 6:04:00 AM,C,2.5
7/25/23 6:14:00 AM,C,3
7/25/23 6:24:00 AM,C,3
7/25/23 6:34:00 AM,C,3
7/25/23 6:44:00 AM,C,3
7/25/23 6:54:00 AM,C,3
7/25/23 7:04:00 AM,C,3
7/25/23 7:14:00 AM,C,3
7/25/23 7:24:00 AM,C,3
7/25/23 7:34:00 AM,C,3
7/25/23 7:44:00 AM,C,3
7/25/23 7:54:00 AM,C,3
7/25/23 8:04:00 AM,C,3
7/25/23 8:14:00 AM,C,3
7/25/23 8:24:00 AM,C,3.5
7/25/23 8:34:00 AM,C,5
7/25/23 8:44:00 AM,C,6
7/25/23 8:54:00 AM,C,6
7/25/23 9:04:00 AM,C,6.5
7/25/23 9:14:00 AM,C,7
7/25/23 9:24:00 AM,C,7
7/25/23 9:34:00 AM,C,7.5
7/25/23 9:44:00 AM,C,8
7/25/23 9:54:00 AM,C,8
7/25/23 10:04:00 AM,C,8.5
7/25/23 10:14:00 AM,C,9.5
7/25/23 10:24:00 AM,C,11
7/25/23 10:34:00 AM,C,12.5
7/25/23 10:44:00 AM,C,14
7/25/23 10:54:00 AM,C,15
7/25/23 11:04:00 AM,C,15.5
7/25/23 11:14:00 AM,C,17
7/25/23 11:24:00 AM,C,17
7/25/23 11:34:00 AM,C,18
7/25/23 11:44:00 AM,C,18
7/25/23 11:54:00 AM,C,18
7/25/23 12:04:00 PM,C,20
7/25/23 12:14:00 PM,C,22.5
7/25/23 12:24:00 PM,C,23
7/25/23 12:34:00 PM,C,23
7/25/23 12:44:00 PM,C,22.5
7/25/23 12:54:00 PM,C,22
7/25/23 1:04:00 PM,C,21
7/25/23 1:14:00 PM,C,21.5
7/25/23 1:24:00 PM,C,21.5
7/25/23 1:34:00 PM,C,20.5
7/25/23 1:44:00 PM,C,21
7/25/23 1:54:00 PM,C,21
7/25/23 2:04:00 PM,C,21
7/25/23 2:14:00 PM,C,20.5
7/25/23 2:24:00 PM,C,21
7/25/23 2:34:00 PM,C,20.5
7/25/23 2:44:00 PM,C,19
7/25/23 2:54:00 PM,C,17.5
7/25/23 3:04:00 PM,C,16.5
7/25/23 3:14:00 PM,C,16
7/25/23 3:24:00 PM,C,15.5
7/25/23 3:34:00 PM,C,15
7/25/23 3:44:00 PM,C,15
