"Plot Title: LCG-H 0"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 21714745, SEN S/N: 21714745)","Intensity, lum/ft² (LGR S/N: 21714745, SEN S/N: 21714745)","Button Down (LGR S/N: 21714745, SEN S/N: 21714745)","Button Up (LGR S/N: 21714745, SEN S/N: 21714745)","Host Connected (LGR S/N: 21714745, SEN S/N: 21714745)","End Of File (LGR S/N: 21714745, SEN S/N: 21714745)"
1,06/26/24 03:00:00 PM,65.35,2586.65,,,,
2,06/26/24 03:15:00 PM,78.33,2471.54,,,,
3,06/26/24 03:30:00 PM,82.19,2963.37,,,,
4,06/26/24 03:45:00 PM,79.10,2891.07,,,,
5,06/26/24 04:00:00 PM,81.03,2805.45,,,,
6,06/26/24 04:15:00 PM,80.10,2775.01,,,,
7,06/26/24 04:30:00 PM,80.10,2710.32,,,,
8,06/26/24 04:45:00 PM,81.34,2666.56,,,,
9,06/26/24 05:00:00 PM,75.32,2585.70,,,,
10,06/26/24 05:15:00 PM,75.01,2506.74,,,,
11,06/26/24 05:30:00 PM,75.39,2417.31,,,,
12,06/26/24 05:45:00 PM,70.91,2268.90,,,,
13,06/26/24 06:00:00 PM,73.31,2215.63,,,,
14,06/26/24 06:15:00 PM,72.38,2103.37,,,,
15,06/26/24 06:30:00 PM,71.15,2070.08,,,,
16,06/26/24 06:45:00 PM,70.45,2137.62,,,,
17,06/26/24 07:00:00 PM,69.52,2189.94,,,,
18,06/26/24 07:15:00 PM,66.28,2125.26,,,,
19,06/26/24 07:30:00 PM,64.50,1804.18,,,,
20,06/26/24 07:45:00 PM,62.27,1463.61,,,,
21,06/26/24 08:00:00 PM,61.11,1197.72,,,,
22,06/26/24 08:15:00 PM,61.80,1001.27,,,,
23,06/26/24 08:30:00 PM,60.72,820.99,,,,
24,06/26/24 08:45:00 PM,57.25,653.80,,,,
25,06/26/24 09:00:00 PM,55.16,495.64,,,,
26,06/26/24 09:15:00 PM,47.98,123.20,,,,
27,06/26/24 09:30:00 PM,46.36,88.83,,,,
28,06/26/24 09:45:00 PM,45.66,54.82,,,,
29,06/26/24 10:00:00 PM,44.43,29.46,,,,
30,06/26/24 10:15:00 PM,46.82,13.67,,,,
31,06/26/24 10:30:00 PM,48.13,5.36,,,,
32,06/26/24 10:45:00 PM,48.06,1.58,,,,
33,06/26/24 11:00:00 PM,45.59,0.51,,,,
34,06/26/24 11:15:00 PM,47.36,0.18,,,,
35,06/26/24 11:30:00 PM,45.89,0.09,,,,
36,06/26/24 11:45:00 PM,47.05,0.03,,,,
37,06/27/24 12:00:00 AM,46.98,0.00,,,,
38,06/27/24 12:15:00 AM,48.29,0.00,,,,
39,06/27/24 12:30:00 AM,47.28,0.00,,,,
40,06/27/24 12:45:00 AM,46.44,0.00,,,,
41,06/27/24 01:00:00 AM,46.59,0.00,,,,
42,06/27/24 01:15:00 AM,46.20,0.00,,,,
43,06/27/24 01:30:00 AM,46.28,0.00,,,,
44,06/27/24 01:45:00 AM,48.60,0.00,,,,
45,06/27/24 02:00:00 AM,44.43,0.01,,,,
46,06/27/24 02:15:00 AM,44.81,0.03,,,,
47,06/27/24 02:30:00 AM,46.82,0.07,,,,
48,06/27/24 02:45:00 AM,44.12,0.20,,,,
49,06/27/24 03:00:00 AM,45.12,0.48,,,,
50,06/27/24 03:15:00 AM,44.12,1.26,,,,
51,06/27/24 03:30:00 AM,44.12,3.55,,,,
52,06/27/24 03:45:00 AM,46.28,7.01,,,,
53,06/27/24 04:00:00 AM,44.50,14.92,,,,
54,06/27/24 04:15:00 AM,46.98,27.97,,,,
55,06/27/24 04:30:00 AM,45.59,43.15,,,,
56,06/27/24 04:45:00 AM,47.36,58.16,,,,
57,06/27/24 05:00:00 AM,45.12,78.93,,,,
58,06/27/24 05:15:00 AM,46.90,112.46,,,,
59,06/27/24 05:30:00 AM,45.35,156.02,,,,
60,06/27/24 05:45:00 AM,45.82,185.63,,,,
61,06/27/24 06:00:00 AM,46.82,226.00,,,,
62,06/27/24 06:15:00 AM,46.28,271.96,,,,
63,06/27/24 06:30:00 AM,48.67,362.22,,,,
64,06/27/24 06:45:00 AM,51.30,470.19,,,,
65,06/27/24 07:00:00 AM,50.30,661.64,,,,
66,06/27/24 07:15:00 AM,53.54,845.73,,,,
67,06/27/24 07:30:00 AM,60.26,996.99,,,,
68,06/27/24 07:45:00 AM,56.94,839.54,,,,
69,06/27/24 08:00:00 AM,58.79,1127.79,,,,
70,06/27/24 08:15:00 AM,65.43,1288.57,,,,
71,06/27/24 08:30:00 AM,68.98,1548.28,,,,
72,06/27/24 08:45:00 AM,71.15,1603.93,,,,
73,06/27/24 09:00:00 AM,67.13,1841.29,,,,
74,06/27/24 09:15:00 AM,67.21,1629.14,,,,
75,06/27/24 09:30:00 AM,68.29,1749.01,,,,
76,06/27/24 09:45:00 AM,66.74,1356.11,,,,
77,06/27/24 10:00:00 AM,64.66,1403.68,,,,
78,06/27/24 10:15:00 AM,68.60,2058.66,,,,
79,06/27/24 10:30:00 AM,72.15,2026.32,,,,
80,06/27/24 10:45:00 AM,74.62,3092.75,,,,
81,06/27/24 11:00:00 AM,76.01,2317.42,,,,
82,06/27/24 11:15:00 AM,73.77,2110.03,,,,
83,06/27/24 11:30:00 AM,71.07,1865.54,,,,
84,06/27/24 11:45:00 AM,76.71,2253.68,,,,
85,06/27/24 12:00:00 PM,74.08,2129.06,,,,
86,06/27/24 12:15:00 PM,73.54,2301.25,,,,
87,06/27/24 12:30:00 PM,74.39,2547.64,,,,
88,06/27/24 12:45:00 PM,73.46,2316.47,,,,
89,06/27/24 01:00:00 PM,80.80,2827.33,,,,
90,06/27/24 01:15:00 PM,74.00,2292.69,,,,
91,06/27/24 01:30:00 PM,65.20,2211.83,,,,
92,06/27/24 01:45:00 PM,68.52,2243.22,,,,
93,06/27/24 02:00:00 PM,70.45,2511.49,,,,
94,06/27/24 02:15:00 PM,72.15,3315.36,,,,
95,06/27/24 02:30:00 PM,82.19,3466.62,,,,
96,06/27/24 02:45:00 PM,73.85,3099.41,,,,
97,06/27/24 03:00:00 PM,72.92,3072.77,,,,
98,06/27/24 03:15:00 PM,73.93,2973.83,,,,
99,06/27/24 03:30:00 PM,73.08,2891.07,,,,
100,06/27/24 03:45:00 PM,74.31,2836.84,,,,
101,06/27/24 04:00:00 PM,75.01,2785.47,,,,
102,06/27/24 04:15:00 PM,77.56,2700.81,,,,
103,06/27/24 04:30:00 PM,66.13,1333.28,,,,
104,06/27/24 04:45:00 PM,74.78,2872.04,,,,
105,06/27/24 05:00:00 PM,73.15,1112.10,,,,
106,06/27/24 05:15:00 PM,70.30,1996.83,,,,
107,06/27/24 05:30:00 PM,80.95,2292.69,,,,
108,06/27/24 05:45:00 PM,73.00,2670.36,,,,
109,06/27/24 06:00:00 PM,67.90,2506.74,,,,
110,06/27/24 06:15:00 PM,69.37,868.56,,,,
111,06/27/24 06:30:00 PM,59.10,570.56,,,,
112,06/27/24 06:45:00 PM,71.69,1671.47,,,,
113,06/27/24 07:00:00 PM,65.20,1175.83,,,,
114,06/27/24 07:15:00 PM,66.13,1037.89,,,,
115,06/27/24 07:30:00 PM,61.03,614.08,,,,
116,06/27/24 07:45:00 PM,63.50,795.31,,,,
117,06/27/24 08:00:00 PM,64.20,633.82,,,,
118,06/27/24 08:15:00 PM,59.64,446.76,,,,
119,06/27/24 08:30:00 PM,48.29,267.08,,,,
120,06/27/24 08:45:00 PM,52.23,355.79,,,,
121,06/27/24 09:00:00 PM,47.13,284.33,,,,
122,06/27/24 09:15:00 PM,49.52,154.41,,,,
123,06/27/24 09:30:00 PM,51.22,101.97,,,,
124,06/27/24 09:45:00 PM,43.73,60.69,,,,
125,06/27/24 10:00:00 PM,42.88,29.13,,,,
126,06/27/24 10:15:00 PM,44.04,13.24,,,,
127,06/27/24 10:30:00 PM,45.43,5.88,,,,
128,06/27/24 10:45:00 PM,44.58,1.92,,,,
129,06/27/24 11:00:00 PM,43.89,0.66,,,,
130,06/27/24 11:15:00 PM,44.43,0.26,,,,
131,06/27/24 11:30:00 PM,44.43,0.11,,,,
132,06/27/24 11:45:00 PM,43.66,0.05,,,,
133,06/28/24 12:00:00 AM,46.98,0.01,,,,
134,06/28/24 12:15:00 AM,46.44,0.00,,,,
135,06/28/24 12:30:00 AM,46.59,0.00,,,,
136,06/28/24 12:45:00 AM,45.89,0.00,,,,
137,06/28/24 01:00:00 AM,42.03,0.00,,,,
138,06/28/24 01:15:00 AM,41.26,0.00,,,,
139,06/28/24 01:30:00 AM,45.66,0.00,,,,
140,06/28/24 01:45:00 AM,45.89,0.00,,,,
141,06/28/24 02:00:00 AM,47.67,0.01,,,,
142,06/28/24 02:15:00 AM,44.66,0.03,,,,
143,06/28/24 02:30:00 AM,45.89,0.11,,,,
144,06/28/24 02:45:00 AM,46.82,0.22,,,,
145,06/28/24 03:00:00 AM,43.35,0.54,,,,
146,06/28/24 03:15:00 AM,43.73,1.51,,,,
147,06/28/24 03:30:00 AM,44.35,4.66,,,,
148,06/28/24 03:45:00 AM,44.27,11.19,,,,
149,06/28/24 04:00:00 AM,42.96,24.28,,,,
150,06/28/24 04:15:00 AM,43.42,48.56,,,,
151,06/28/24 04:30:00 AM,44.89,79.26,,,,
152,06/28/24 04:45:00 AM,45.12,110.50,,,,
153,06/28/24 05:00:00 AM,44.81,136.34,,,,
154,06/28/24 05:15:00 AM,44.66,158.16,,,,
155,06/28/24 05:30:00 AM,44.97,173.68,,,,
156,06/28/24 05:45:00 AM,45.51,193.36,,,,
157,06/28/24 06:00:00 AM,45.59,226.00,,,,
158,06/28/24 06:15:00 AM,47.98,295.27,,,,
159,06/28/24 06:30:00 AM,50.91,639.53,,,,
160,06/28/24 06:45:00 AM,54.93,494.69,,,,
161,06/28/24 07:00:00 AM,57.56,819.56,,,,
162,06/28/24 07:15:00 AM,61.88,1013.63,,,,
163,06/28/24 07:30:00 AM,55.55,657.13,,,,
164,06/28/24 07:45:00 AM,52.54,680.67,,,,
165,06/28/24 08:00:00 AM,51.92,773.90,,,,
166,06/28/24 08:15:00 AM,52.77,858.81,,,,
167,06/28/24 08:30:00 AM,52.15,925.40,,,,
168,06/28/24 08:45:00 AM,53.46,946.57,,,,
169,06/28/24 09:00:00 AM,54.54,1103.06,,,,
170,06/28/24 09:15:00 AM,56.63,1213.41,,,,
171,06/28/24 09:30:00 AM,57.01,1343.74,,,,
172,06/28/24 09:45:00 AM,61.26,1416.04,,,,
173,06/28/24 10:00:00 AM,60.57,1729.50,,,,
174,06/28/24 10:15:00 AM,68.60,2110.99,,,,
175,06/28/24 10:30:00 AM,66.13,1723.80,,,,
176,06/28/24 10:45:00 AM,66.51,1882.67,,,,
177,06/28/24 11:00:00 AM,68.06,2614.23,,,,
178,06/28/24 11:15:00 AM,70.45,2208.02,,,,
179,06/28/24 11:30:00 AM,72.92,2861.58,,,,
180,06/28/24 11:45:00 AM,71.69,2673.22,,,,
181,06/28/24 12:00:00 PM,68.13,2709.37,,,,
182,06/28/24 12:15:00 PM,72.77,2777.86,,,,
183,06/28/24 12:30:00 PM,68.83,2354.52,,,,
184,06/28/24 12:45:00 PM,79.64,3220.23,,,,
185,06/28/24 01:00:00 PM,79.87,3353.41,,,,
186,06/28/24 01:15:00 PM,74.39,1755.67,,,,
187,06/28/24 01:30:00 PM,73.08,2573.33,,,,
188,06/28/24 01:45:00 PM,74.62,3416.20,,,,
189,06/28/24 02:00:00 PM,75.39,3155.54,,,,
190,06/28/24 02:15:00 PM,73.00,3038.52,,,,
191,06/28/24 02:30:00 PM,73.15,3361.02,,,,
192,06/28/24 02:45:00 PM,69.76,1106.86,,,,
193,06/28/24 03:00:00 PM,75.16,2132.87,,,,
194,06/28/24 03:15:00 PM,58.10,1473.60,,,,
195,06/28/24 03:30:00 PM,62.57,1415.09,,,,
196,06/28/24 03:45:00 PM,57.17,1324.24,,,,
197,06/28/24 04:00:00 PM,58.79,1255.27,,,,
198,06/28/24 04:15:00 PM,55.78,1201.52,,,,
199,06/28/24 04:30:00 PM,55.16,967.26,,,,
200,06/28/24 04:45:00 PM,73.46,2816.87,,,,
201,06/28/24 05:00:00 PM,73.39,2712.22,,,,
202,06/28/24 05:15:00 PM,71.53,2648.48,,,,
203,06/28/24 05:30:00 PM,69.60,2410.65,,,,
204,06/28/24 05:45:00 PM,72.54,2367.84,,,,
205,06/28/24 06:00:00 PM,73.15,863.09,,,,
206,06/28/24 06:15:00 PM,59.72,594.34,,,,
207,06/28/24 06:30:00 PM,59.95,726.57,,,,
208,06/28/24 06:45:00 PM,60.88,763.44,,,,
209,06/28/24 07:00:00 PM,65.59,987.95,,,,
210,06/28/24 07:15:00 PM,56.01,669.97,,,,
211,06/28/24 07:30:00 PM,55.24,479.11,,,,
212,06/28/24 07:45:00 PM,56.24,414.90,,,,
213,06/28/24 08:00:00 PM,59.79,1065.48,,,,
214,06/28/24 08:15:00 PM,54.85,720.63,,,,
215,06/28/24 08:30:00 PM,51.61,334.03,,,,
216,06/28/24 08:45:00 PM,52.38,285.75,,,,
217,06/28/24 09:00:00 PM,47.59,411.45,,,,
218,06/28/24 09:15:00 PM,49.76,215.65,,,,
219,06/28/24 09:30:00 PM,45.51,116.75,,,,
220,06/28/24 09:45:00 PM,42.73,55.21,,,,
221,06/28/24 10:00:00 PM,45.35,26.64,,,,
222,06/28/24 10:15:00 PM,43.11,13.09,,,,
223,06/28/24 10:30:00 PM,44.20,5.04,,,,
224,06/28/24 10:45:00 PM,44.04,1.60,,,,
225,06/28/24 11:00:00 PM,44.50,0.57,,,,
226,06/28/24 11:15:00 PM,44.35,0.19,,,,
227,06/28/24 11:30:00 PM,45.12,0.06,,,,
228,06/28/24 11:45:00 PM,43.42,0.02,,,,
229,06/29/24 12:00:00 AM,44.20,0.01,,,,
230,06/29/24 12:15:00 AM,43.42,0.00,,,,
231,06/29/24 12:30:00 AM,40.10,0.00,,,,
232,06/29/24 12:45:00 AM,44.12,0.00,,,,
233,06/29/24 01:00:00 AM,42.81,0.00,,,,
234,06/29/24 01:15:00 AM,41.96,0.00,,,,
235,06/29/24 01:30:00 AM,41.49,0.00,,,,
236,06/29/24 01:45:00 AM,42.50,0.00,,,,
237,06/29/24 02:00:00 AM,44.12,0.00,,,,
238,06/29/24 02:15:00 AM,43.04,0.03,,,,
239,06/29/24 02:30:00 AM,44.81,0.04,,,,
240,06/29/24 02:45:00 AM,43.81,0.09,,,,
241,06/29/24 03:00:00 AM,44.04,0.30,,,,
242,06/29/24 03:15:00 AM,43.73,0.81,,,,
243,06/29/24 03:30:00 AM,42.81,2.81,,,,
244,06/29/24 03:45:00 AM,45.82,7.85,,,,
245,06/29/24 04:00:00 AM,47.13,15.12,,,,
246,06/29/24 04:15:00 AM,46.36,28.70,,,,
247,06/29/24 04:30:00 AM,45.28,50.96,,,,
248,06/29/24 04:45:00 AM,44.50,84.31,,,,
249,06/29/24 05:00:00 AM,43.50,88.24,,,,
250,06/29/24 05:15:00 AM,43.27,132.65,,,,
251,06/29/24 05:30:00 AM,45.97,154.00,,,,
252,06/29/24 05:45:00 AM,43.89,182.06,,,,
253,06/29/24 06:00:00 AM,47.67,332.01,,,,
254,06/29/24 06:15:00 AM,46.36,407.40,,,,
255,06/29/24 06:30:00 AM,48.29,411.09,,,,
256,06/29/24 06:45:00 AM,47.05,492.79,,,,
257,06/29/24 07:00:00 AM,48.29,617.41,,,,
258,06/29/24 07:15:00 AM,51.45,779.13,,,,
259,06/29/24 07:30:00 AM,52.54,912.56,,,,
260,06/29/24 07:45:00 AM,55.93,1054.07,,,,
261,06/29/24 08:00:00 AM,64.50,1181.07,,,,
262,06/29/24 08:15:00 AM,58.56,935.39,,,,
263,06/29/24 08:30:00 AM,62.03,1273.35,,,,
264,06/29/24 08:45:00 AM,62.11,1370.86,,,,
265,06/29/24 09:00:00 AM,60.57,1428.89,,,,
266,06/29/24 09:15:00 AM,61.34,1522.12,,,,
267,06/29/24 09:30:00 AM,64.58,1690.98,,,,
268,06/29/24 09:45:00 AM,73.00,2942.44,,,,
269,06/29/24 10:00:00 AM,78.64,2501.98,,,,
270,06/29/24 10:15:00 AM,69.52,2586.65,,,,
271,06/29/24 10:30:00 AM,71.53,2677.02,,,,
272,06/29/24 10:45:00 AM,76.71,2426.82,,,,
273,06/29/24 11:00:00 AM,72.61,2309.81,,,,
274,06/29/24 11:15:00 AM,64.35,2346.91,,,,
275,06/29/24 11:30:00 AM,65.59,2307.91,,,,
276,06/29/24 11:45:00 AM,63.42,2066.27,,,,
277,06/29/24 12:00:00 PM,67.36,2263.20,,,,
278,06/29/24 12:15:00 PM,68.60,2527.66,,,,
279,06/29/24 12:30:00 PM,69.29,2442.05,,,,
280,06/29/24 12:45:00 PM,70.06,3338.19,,,,
281,06/29/24 01:00:00 PM,69.14,2963.37,,,,
282,06/29/24 01:15:00 PM,64.04,2307.91,,,,
283,06/29/24 01:30:00 PM,57.79,1726.65,,,,
284,06/29/24 01:45:00 PM,58.87,1604.41,,,,
285,06/29/24 02:00:00 PM,53.77,1456.95,,,,
286,06/29/24 02:15:00 PM,60.41,1677.18,,,,
287,06/29/24 02:30:00 PM,56.40,1394.64,,,,
288,06/29/24 02:45:00 PM,55.86,1631.52,,,,
289,06/29/24 03:00:00 PM,56.94,1466.94,,,,
290,06/29/24 03:15:00 PM,57.48,1622.48,,,,
291,06/29/24 03:30:00 PM,61.96,1898.36,,,,
292,06/29/24 03:45:00 PM,56.47,1309.50,,,,
293,06/29/24 04:00:00 PM,54.78,969.40,,,,
294,06/29/24 04:15:00 PM,50.68,733.47,,,,
295,06/29/24 04:30:00 PM,51.38,781.51,,,,
296,06/29/24 04:45:00 PM,49.91,753.45,,,,
297,06/29/24 05:00:00 PM,50.37,690.66,,,,
298,06/29/24 05:15:00 PM,50.61,665.45,,,,
299,06/29/24 05:30:00 PM,52.23,781.04,,,,
300,06/29/24 05:45:00 PM,52.46,810.76,,,,
301,06/29/24 06:00:00 PM,54.08,832.17,,,,
302,06/29/24 06:15:00 PM,53.77,765.81,,,,
303,06/29/24 06:30:00 PM,54.31,800.78,,,,
304,06/29/24 06:45:00 PM,53.39,681.86,,,,
305,06/29/24 07:00:00 PM,53.00,665.45,,,,
306,06/29/24 07:15:00 PM,52.38,499.44,,,,
307,06/29/24 07:30:00 PM,50.30,343.31,,,,
308,06/29/24 07:45:00 PM,49.91,389.80,,,,
309,06/29/24 08:00:00 PM,50.30,313.58,,,,
310,06/29/24 08:15:00 PM,48.83,151.20,,,,
311,06/29/24 08:30:00 PM,46.74,94.03,,,,
312,06/29/24 08:45:00 PM,45.89,74.68,,,,
313,06/29/24 09:00:00 PM,45.82,48.43,,,,
314,06/29/24 09:15:00 PM,46.82,59.62,,,,
315,06/29/24 09:30:00 PM,47.36,32.49,,,,
316,06/29/24 09:45:00 PM,47.44,20.20,,,,
317,06/29/24 10:00:00 PM,46.44,11.88,,,,
318,06/29/24 10:15:00 PM,45.82,6.42,,,,
319,06/29/24 10:30:00 PM,44.43,2.65,,,,
320,06/29/24 10:45:00 PM,45.28,0.89,,,,
321,06/29/24 11:00:00 PM,45.43,0.37,,,,
322,06/29/24 11:15:00 PM,45.28,0.15,,,,
323,06/29/24 11:30:00 PM,44.20,0.05,,,,
324,06/29/24 11:45:00 PM,45.59,0.01,,,,
325,06/30/24 12:00:00 AM,44.74,0.01,,,,
326,06/30/24 12:15:00 AM,43.81,0.00,,,,
327,06/30/24 12:30:00 AM,43.35,0.00,,,,
328,06/30/24 12:45:00 AM,43.58,0.00,,,,
329,06/30/24 01:00:00 AM,43.11,0.00,,,,
330,06/30/24 01:15:00 AM,42.57,0.00,,,,
331,06/30/24 01:30:00 AM,41.11,0.00,,,,
332,06/30/24 01:45:00 AM,42.03,0.00,,,,
333,06/30/24 02:00:00 AM,41.72,0.01,,,,
334,06/30/24 02:15:00 AM,41.26,0.01,,,,
335,06/30/24 02:30:00 AM,43.42,0.05,,,,
336,06/30/24 02:45:00 AM,41.11,0.16,,,,
337,06/30/24 03:00:00 AM,42.11,0.34,,,,
338,06/30/24 03:15:00 AM,40.57,1.09,,,,
339,06/30/24 03:30:00 AM,40.33,2.87,,,,
340,06/30/24 03:45:00 AM,41.26,8.09,,,,
341,06/30/24 04:00:00 AM,38.79,17.39,,,,
342,06/30/24 04:15:00 AM,41.42,30.61,,,,
343,06/30/24 04:30:00 AM,41.80,38.81,,,,
344,06/30/24 04:45:00 AM,43.89,62.52,,,,
345,06/30/24 05:00:00 AM,40.88,93.82,,,,
346,06/30/24 05:15:00 AM,41.34,138.71,,,,
347,06/30/24 05:30:00 AM,41.42,184.14,,,,
348,06/30/24 05:45:00 AM,43.04,242.77,,,,
349,06/30/24 06:00:00 AM,42.73,325.11,,,,
350,06/30/24 06:15:00 AM,45.35,542.25,,,,
351,06/30/24 06:30:00 AM,48.21,735.61,,,,
352,06/30/24 06:45:00 AM,47.05,613.84,,,,
353,06/30/24 07:00:00 AM,47.05,884.97,,,,
354,06/30/24 07:15:00 AM,48.60,878.31,,,,
355,06/30/24 07:30:00 AM,47.98,895.19,,,,
356,06/30/24 07:45:00 AM,49.06,991.28,,,,
357,06/30/24 08:00:00 AM,51.07,1164.89,,,,
358,06/30/24 08:15:00 AM,51.38,1355.16,,,,
359,06/30/24 08:30:00 AM,49.37,1119.23,,,,
360,06/30/24 08:45:00 AM,51.22,1241.95,,,,
361,06/30/24 09:00:00 AM,54.31,1434.59,,,,
362,06/30/24 09:15:00 AM,56.86,1780.40,,,,
363,06/30/24 09:30:00 AM,55.78,2065.32,,,,
364,06/30/24 09:45:00 AM,62.57,2763.59,,,,
365,06/30/24 10:00:00 AM,68.75,3198.35,,,,
366,06/30/24 10:15:00 AM,65.82,2951.00,,,,
367,06/30/24 10:30:00 AM,63.89,1848.90,,,,
368,06/30/24 10:45:00 AM,60.41,1880.77,,,,
