"Plot Title: LCG-G 0"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 21716171, SEN S/N: 21716171)","Intensity, lum/ft² (LGR S/N: 21716171, SEN S/N: 21716171)","Button Down (LGR S/N: 21716171, SEN S/N: 21716171)","Button Up (LGR S/N: 21716171, SEN S/N: 21716171)","Host Connected (LGR S/N: 21716171, SEN S/N: 21716171)","End Of File (LGR S/N: 21716171, SEN S/N: 21716171)"
1,06/26/24 01:00:00 PM,62.03,4912.63,,,,
2,06/26/24 01:15:00 PM,63.19,4627.23,,,,
3,06/26/24 01:30:00 PM,87.21,8634.21,,,,
4,06/26/24 01:45:00 PM,95.32,8093.85,,,,
5,06/26/24 02:00:00 PM,87.59,7785.63,,,,
6,06/26/24 02:15:00 PM,97.17,8287.92,,,,
7,06/26/24 02:30:00 PM,92.61,5862.05,,,,
8,06/26/24 02:45:00 PM,93.00,7435.54,,,,
9,06/26/24 03:00:00 PM,87.75,7258.59,,,,
10,06/26/24 03:15:00 PM,86.13,7108.28,,,,
11,06/26/24 03:30:00 PM,89.14,6841.91,,,,
12,06/26/24 03:45:00 PM,94.47,6640.23,,,,
13,06/26/24 04:00:00 PM,91.84,6421.43,,,,
14,06/26/24 04:15:00 PM,84.97,6208.33,,,,
15,06/26/24 04:30:00 PM,83.58,5892.49,,,,
16,06/26/24 04:45:00 PM,83.50,5765.02,,,,
17,06/26/24 05:00:00 PM,83.89,5483.42,,,,
18,06/26/24 05:15:00 PM,87.21,5251.30,,,,
19,06/26/24 05:30:00 PM,85.82,4986.83,,,,
20,06/26/24 05:45:00 PM,74.08,4707.14,,,,
21,06/26/24 06:00:00 PM,74.00,3836.68,,,,
22,06/26/24 06:15:00 PM,72.69,4136.35,,,,
23,06/26/24 06:30:00 PM,72.77,3765.34,,,,
24,06/26/24 06:45:00 PM,70.76,3373.39,,,,
25,06/26/24 07:00:00 PM,68.44,3048.04,,,,
26,06/26/24 07:15:00 PM,68.29,2770.25,,,,
27,06/26/24 07:30:00 PM,69.22,2496.27,,,,
28,06/26/24 07:45:00 PM,67.67,2217.53,,,,
29,06/26/24 08:00:00 PM,67.83,1967.34,,,,
30,06/26/24 08:15:00 PM,55.55,579.12,,,,
31,06/26/24 08:30:00 PM,45.66,516.33,,,,
32,06/26/24 08:45:00 PM,44.27,451.40,,,,
33,06/26/24 09:00:00 PM,46.13,378.51,,,,
34,06/26/24 09:15:00 PM,43.81,302.64,,,,
35,06/26/24 09:30:00 PM,43.50,220.65,,,,
36,06/26/24 09:45:00 PM,42.96,137.41,,,,
37,06/26/24 10:00:00 PM,41.42,73.04,,,,
38,06/26/24 10:15:00 PM,41.49,33.82,,,,
39,06/26/24 10:30:00 PM,41.65,13.24,,,,
40,06/26/24 10:45:00 PM,41.80,4.07,,,,
41,06/26/24 11:00:00 PM,42.96,1.34,,,,
42,06/26/24 11:15:00 PM,42.73,0.49,,,,
43,06/26/24 11:30:00 PM,43.04,0.25,,,,
44,06/26/24 11:45:00 PM,43.89,0.09,,,,
45,06/27/24 12:00:00 AM,43.89,0.02,,,,
46,06/27/24 12:15:00 AM,43.58,0.00,,,,
47,06/27/24 12:30:00 AM,43.04,0.00,,,,
48,06/27/24 12:45:00 AM,46.28,0.00,,,,
49,06/27/24 01:00:00 AM,47.75,0.00,,,,
50,06/27/24 01:15:00 AM,48.37,0.00,,,,
51,06/27/24 01:30:00 AM,46.20,0.04,,,,
52,06/27/24 01:45:00 AM,47.98,0.04,,,,
53,06/27/24 02:00:00 AM,45.74,0.04,,,,
54,06/27/24 02:15:00 AM,45.43,0.07,,,,
55,06/27/24 02:30:00 AM,44.66,0.18,,,,
56,06/27/24 02:45:00 AM,44.04,0.56,,,,
57,06/27/24 03:00:00 AM,43.50,1.35,,,,
58,06/27/24 03:15:00 AM,43.96,3.64,,,,
59,06/27/24 03:30:00 AM,43.35,10.19,,,,
60,06/27/24 03:45:00 AM,43.35,19.44,,,,
61,06/27/24 04:00:00 AM,43.66,38.20,,,,
62,06/27/24 04:15:00 AM,44.43,75.60,,,,
63,06/27/24 04:30:00 AM,44.12,114.81,,,,
64,06/27/24 04:45:00 AM,44.04,153.34,,,,
65,06/27/24 05:00:00 AM,44.43,214.46,,,,
66,06/27/24 05:15:00 AM,44.89,285.16,,,,
67,06/27/24 05:30:00 AM,46.36,424.53,,,,
68,06/27/24 05:45:00 AM,46.51,510.62,,,,
69,06/27/24 06:00:00 AM,47.44,620.98,,,,
70,06/27/24 06:15:00 AM,47.67,747.74,,,,
71,06/27/24 06:30:00 AM,49.52,1004.60,,,,
72,06/27/24 06:45:00 AM,50.61,1318.06,,,,
73,06/27/24 07:00:00 AM,54.08,1837.00,,,,
74,06/27/24 07:15:00 AM,58.17,2579.04,,,,
75,06/27/24 07:30:00 AM,60.64,3096.56,,,,
76,06/27/24 07:45:00 AM,61.11,2369.74,,,,
77,06/27/24 08:00:00 AM,62.50,3071.82,,,,
78,06/27/24 08:15:00 AM,67.36,3141.27,,,,
79,06/27/24 08:30:00 AM,78.71,5624.22,,,,
80,06/27/24 08:45:00 AM,81.57,5308.38,,,,
81,06/27/24 09:00:00 AM,78.02,4296.17,,,,
82,06/27/24 09:15:00 AM,85.66,6451.87,,,,
83,06/27/24 09:30:00 AM,78.10,5017.28,,,,
84,06/27/24 09:45:00 AM,84.58,4322.81,,,,
85,06/27/24 10:00:00 AM,72.77,4330.42,,,,
86,06/27/24 10:15:00 AM,78.95,5787.85,,,,
87,06/27/24 10:30:00 AM,86.28,6644.04,,,,
88,06/27/24 10:45:00 AM,94.00,7058.81,,,,
89,06/27/24 11:00:00 AM,85.97,6354.84,,,,
90,06/27/24 11:15:00 AM,86.59,6364.35,,,,
91,06/27/24 11:30:00 AM,86.82,6994.12,,,,
92,06/27/24 11:45:00 AM,80.57,6366.25,,,,
93,06/27/24 12:00:00 PM,84.66,5881.08,,,,
94,06/27/24 12:15:00 PM,88.60,6699.21,,,,
95,06/27/24 12:30:00 PM,89.83,6318.69,,,,
96,06/27/24 12:45:00 PM,89.68,6621.21,,,,
97,06/27/24 01:00:00 PM,90.99,6670.68,,,,
98,06/27/24 01:15:00 PM,83.12,6219.75,,,,
99,06/27/24 01:30:00 PM,82.11,5696.52,,,,
100,06/27/24 01:45:00 PM,80.10,5907.71,,,,
101,06/27/24 02:00:00 PM,87.13,6906.60,,,,
102,06/27/24 02:15:00 PM,93.46,6756.29,,,,
103,06/27/24 02:30:00 PM,90.45,8276.51,,,,
104,06/27/24 02:45:00 PM,89.83,7445.05,,,,
105,06/27/24 03:00:00 PM,91.84,7243.37,,,,
106,06/27/24 03:15:00 PM,87.67,6977.00,,,,
107,06/27/24 03:30:00 PM,86.59,6649.75,,,,
108,06/27/24 03:45:00 PM,84.66,6406.21,,,,
109,06/27/24 04:00:00 PM,85.12,6360.54,,,,
110,06/27/24 04:15:00 PM,75.70,6432.84,,,,
111,06/27/24 04:30:00 PM,67.52,2117.64,,,,
112,06/27/24 04:45:00 PM,70.76,5785.94,,,,
113,06/27/24 05:00:00 PM,78.40,5721.26,,,,
114,06/27/24 05:15:00 PM,67.75,2357.38,,,,
115,06/27/24 05:30:00 PM,66.82,3160.29,,,,
116,06/27/24 05:45:00 PM,80.80,5637.54,,,,
117,06/27/24 06:00:00 PM,84.74,5177.10,,,,
118,06/27/24 06:15:00 PM,78.56,4825.11,,,,
119,06/27/24 06:30:00 PM,70.84,2286.03,,,,
120,06/27/24 06:45:00 PM,68.67,1434.59,,,,
121,06/27/24 07:00:00 PM,59.49,1570.63,,,,
122,06/27/24 07:15:00 PM,66.05,2272.71,,,,
123,06/27/24 07:30:00 PM,59.56,1238.62,,,,
124,06/27/24 07:45:00 PM,61.03,1397.02,,,,
125,06/27/24 08:00:00 PM,58.64,1172.51,,,,
126,06/27/24 08:15:00 PM,52.84,713.73,,,,
127,06/27/24 08:30:00 PM,48.67,608.37,,,,
128,06/27/24 08:45:00 PM,46.82,539.88,,,,
129,06/27/24 09:00:00 PM,46.36,445.10,,,,
130,06/27/24 09:15:00 PM,46.13,348.18,,,,
131,06/27/24 09:30:00 PM,46.13,238.72,,,,
132,06/27/24 09:45:00 PM,46.59,142.88,,,,
133,06/27/24 10:00:00 PM,43.81,71.62,,,,
134,06/27/24 10:15:00 PM,43.96,33.13,,,,
135,06/27/24 10:30:00 PM,42.65,14.29,,,,
136,06/27/24 10:45:00 PM,42.73,4.69,,,,
137,06/27/24 11:00:00 PM,42.65,1.56,,,,
138,06/27/24 11:15:00 PM,43.96,0.62,,,,
139,06/27/24 11:30:00 PM,42.81,0.27,,,,
140,06/27/24 11:45:00 PM,43.11,0.11,,,,
141,06/28/24 12:00:00 AM,42.88,0.04,,,,
142,06/28/24 12:15:00 AM,42.81,0.02,,,,
143,06/28/24 12:30:00 AM,43.35,0.00,,,,
144,06/28/24 12:45:00 AM,44.43,0.00,,,,
145,06/28/24 01:00:00 AM,44.20,0.00,,,,
146,06/28/24 01:15:00 AM,44.89,0.00,,,,
147,06/28/24 01:30:00 AM,44.35,0.00,,,,
148,06/28/24 01:45:00 AM,44.27,0.02,,,,
149,06/28/24 02:00:00 AM,43.89,0.05,,,,
150,06/28/24 02:15:00 AM,42.65,0.13,,,,
151,06/28/24 02:30:00 AM,43.35,0.29,,,,
152,06/28/24 02:45:00 AM,43.66,0.69,,,,
153,06/28/24 03:00:00 AM,43.96,1.74,,,,
154,06/28/24 03:15:00 AM,43.50,4.11,,,,
155,06/28/24 03:30:00 AM,42.81,12.46,,,,
156,06/28/24 03:45:00 AM,42.27,33.99,,,,
157,06/28/24 04:00:00 AM,41.26,73.88,,,,
158,06/28/24 04:15:00 AM,42.27,154.41,,,,
159,06/28/24 04:30:00 AM,42.96,260.90,,,,
160,06/28/24 04:45:00 AM,45.82,677.10,,,,
161,06/28/24 05:00:00 AM,46.90,818.38,,,,
162,06/28/24 05:15:00 AM,47.44,529.65,,,,
163,06/28/24 05:30:00 AM,43.96,559.38,,,,
164,06/28/24 05:45:00 AM,44.97,600.76,,,,
165,06/28/24 06:00:00 AM,44.43,740.13,,,,
166,06/28/24 06:15:00 AM,45.35,1037.89,,,,
167,06/28/24 06:30:00 AM,48.06,1515.93,,,,
168,06/28/24 06:45:00 AM,60.26,3838.59,,,,
169,06/28/24 07:00:00 AM,67.05,4067.86,,,,
170,06/28/24 07:15:00 AM,73.08,4988.74,,,,
171,06/28/24 07:30:00 AM,61.03,2000.63,,,,
172,06/28/24 07:45:00 AM,56.71,1915.01,,,,
173,06/28/24 08:00:00 AM,58.17,2082.45,,,,
174,06/28/24 08:15:00 AM,58.25,2332.64,,,,
175,06/28/24 08:30:00 AM,58.40,2440.14,,,,
176,06/28/24 08:45:00 AM,60.10,2503.88,,,,
177,06/28/24 09:00:00 AM,61.18,2960.52,,,,
178,06/28/24 09:15:00 AM,65.51,3200.25,,,,
179,06/28/24 09:30:00 AM,66.51,3588.39,,,,
180,06/28/24 09:45:00 AM,67.90,3805.29,,,,
181,06/28/24 10:00:00 AM,71.92,4752.81,,,,
182,06/28/24 10:15:00 AM,85.43,6271.12,,,,
183,06/28/24 10:30:00 AM,81.80,4817.50,,,,
184,06/28/24 10:45:00 AM,77.63,5268.43,,,,
185,06/28/24 11:00:00 AM,84.66,6468.99,,,,
186,06/28/24 11:15:00 AM,91.92,6484.22,,,,
187,06/28/24 11:30:00 AM,100.88,8105.27,,,,
188,06/28/24 11:45:00 AM,88.98,7827.48,,,,
189,06/28/24 12:00:00 PM,91.53,7930.23,,,,
190,06/28/24 12:15:00 PM,97.01,8040.58,,,,
191,06/28/24 12:30:00 PM,92.23,8927.21,,,,
192,06/28/24 12:45:00 PM,91.69,5679.40,,,,
193,06/28/24 01:00:00 PM,100.03,10182.96,,,,
194,06/28/24 01:15:00 PM,92.61,11819.23,,,,
195,06/28/24 01:30:00 PM,83.73,7762.79,,,,
196,06/28/24 01:45:00 PM,104.12,10780.39,,,,
197,06/28/24 02:00:00 PM,92.15,4756.61,,,,
198,06/28/24 02:15:00 PM,91.84,3826.22,,,,
199,06/28/24 02:30:00 PM,85.43,7412.71,,,,
200,06/28/24 02:45:00 PM,94.62,8927.21,,,,
201,06/28/24 03:00:00 PM,82.11,4973.52,,,,
202,06/28/24 03:15:00 PM,92.38,4579.67,,,,
203,06/28/24 03:30:00 PM,79.18,8927.21,,,,
204,06/28/24 03:45:00 PM,78.48,5198.03,,,,
205,06/28/24 04:00:00 PM,87.67,7922.62,,,,
206,06/28/24 04:15:00 PM,76.09,3418.10,,,,
207,06/28/24 04:30:00 PM,67.36,2452.51,,,,
208,06/28/24 04:45:00 PM,62.42,2340.25,,,,
209,06/28/24 05:00:00 PM,64.04,2436.34,,,,
210,06/28/24 05:15:00 PM,59.95,2424.92,,,,
211,06/28/24 05:30:00 PM,61.49,2155.70,,,,
212,06/28/24 05:45:00 PM,70.45,4465.51,,,,
213,06/28/24 06:00:00 PM,74.31,5498.65,,,,
214,06/28/24 06:15:00 PM,60.88,1801.33,,,,
215,06/28/24 06:30:00 PM,58.02,1695.26,,,,
216,06/28/24 06:45:00 PM,58.48,1526.40,,,,
217,06/28/24 07:00:00 PM,57.63,1633.42,,,,
218,06/28/24 07:15:00 PM,56.17,1606.78,,,,
219,06/28/24 07:30:00 PM,53.15,1270.97,,,,
220,06/28/24 07:45:00 PM,52.92,1037.89,,,,
221,06/28/24 08:00:00 PM,53.93,1037.89,,,,
222,06/28/24 08:15:00 PM,49.76,729.19,,,,
223,06/28/24 08:30:00 PM,48.37,669.73,,,,
224,06/28/24 08:45:00 PM,48.37,710.64,,,,
225,06/28/24 09:00:00 PM,46.90,660.93,,,,
226,06/28/24 09:15:00 PM,45.97,535.83,,,,
227,06/28/24 09:30:00 PM,44.89,287.06,,,,
228,06/28/24 09:45:00 PM,43.50,141.27,,,,
229,06/28/24 10:00:00 PM,44.12,67.48,,,,
230,06/28/24 10:15:00 PM,43.81,33.28,,,,
231,06/28/24 10:30:00 PM,42.03,12.61,,,,
232,06/28/24 10:45:00 PM,41.65,4.11,,,,
233,06/28/24 11:00:00 PM,41.80,1.38,,,,
234,06/28/24 11:15:00 PM,41.88,0.49,,,,
235,06/28/24 11:30:00 PM,42.73,0.16,,,,
236,06/28/24 11:45:00 PM,42.11,0.05,,,,
237,06/29/24 12:00:00 AM,42.88,0.04,,,,
238,06/29/24 12:15:00 AM,41.42,0.00,,,,
239,06/29/24 12:30:00 AM,43.96,0.00,,,,
240,06/29/24 12:45:00 AM,42.65,0.00,,,,
241,06/29/24 01:00:00 AM,43.35,0.00,,,,
242,06/29/24 01:15:00 AM,42.88,0.00,,,,
243,06/29/24 01:30:00 AM,42.81,0.00,,,,
244,06/29/24 01:45:00 AM,43.96,0.00,,,,
245,06/29/24 02:00:00 AM,45.05,0.02,,,,
246,06/29/24 02:15:00 AM,48.29,0.04,,,,
247,06/29/24 02:30:00 AM,47.83,0.11,,,,
248,06/29/24 02:45:00 AM,44.27,0.24,,,,
249,06/29/24 03:00:00 AM,44.89,0.78,,,,
250,06/29/24 03:15:00 AM,44.27,2.18,,,,
251,06/29/24 03:30:00 AM,45.28,7.50,,,,
252,06/29/24 03:45:00 AM,45.12,22.48,,,,
253,06/29/24 04:00:00 AM,47.83,42.87,,,,
254,06/29/24 04:15:00 AM,47.98,72.81,,,,
255,06/29/24 04:30:00 AM,47.90,130.51,,,,
256,06/29/24 04:45:00 AM,48.21,207.21,,,,
257,06/29/24 05:00:00 AM,48.13,214.58,,,,
258,06/29/24 05:15:00 AM,46.59,355.32,,,,
259,06/29/24 05:30:00 AM,46.82,426.31,,,,
260,06/29/24 05:45:00 AM,45.82,464.48,,,,
261,06/29/24 06:00:00 AM,46.98,862.85,,,,
262,06/29/24 06:15:00 AM,48.83,1176.79,,,,
263,06/29/24 06:30:00 AM,49.83,1113.52,,,,
264,06/29/24 06:45:00 AM,49.52,1941.17,,,,
265,06/29/24 07:00:00 AM,51.07,2171.87,,,,
266,06/29/24 07:15:00 AM,53.39,2214.68,,,,
267,06/29/24 07:30:00 AM,56.40,2745.52,,,,
268,06/29/24 07:45:00 AM,60.34,3161.25,,,,
269,06/29/24 08:00:00 AM,63.35,3711.11,,,,
270,06/29/24 08:15:00 AM,62.19,2970.98,,,,
271,06/29/24 08:30:00 AM,62.27,3635.00,,,,
272,06/29/24 08:45:00 AM,66.90,4020.29,,,,
273,06/29/24 09:00:00 AM,66.44,4155.38,,,,
274,06/29/24 09:15:00 AM,70.68,4473.12,,,,
275,06/29/24 09:30:00 AM,71.92,4728.07,,,,
276,06/29/24 09:45:00 AM,80.34,9524.64,,,,
277,06/29/24 10:00:00 AM,98.02,7140.63,,,,
278,06/29/24 10:15:00 AM,93.62,8744.56,,,,
279,06/29/24 10:30:00 AM,98.10,8421.11,,,,
280,06/29/24 10:45:00 AM,84.27,5327.41,,,,
281,06/29/24 11:00:00 AM,78.79,8736.95,,,,
282,06/29/24 11:15:00 AM,79.87,4560.64,,,,
283,06/29/24 11:30:00 AM,75.32,5844.93,,,,
284,06/29/24 11:45:00 AM,78.02,5523.38,,,,
285,06/29/24 12:00:00 PM,82.03,5930.55,,,,
286,06/29/24 12:15:00 PM,80.26,6744.88,,,,
287,06/29/24 12:30:00 PM,81.49,6566.03,,,,
