"Plot Title: 10908276"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10908276, SEN S/N: 10908276)","Bad Battery (LGR S/N: 10908276, SEN S/N: 10908276)","Coupler Attached (LGR S/N: 10908276, SEN S/N: 10908276)","Host Connected (LGR S/N: 10908276, SEN S/N: 10908276)","Stopped (LGR S/N: 10908276, SEN S/N: 10908276)","End Of File (LGR S/N: 10908276, SEN S/N: 10908276)"
1,07/15/24 03:00:00 PM,74.619,,,,,
2,07/15/24 03:15:00 PM,74.446,,,,,
3,07/15/24 03:30:00 PM,74.098,,,,,
4,07/15/24 03:45:00 PM,73.926,,,,,
5,07/15/24 04:00:00 PM,73.753,,,,,
6,07/15/24 04:15:00 PM,73.753,,,,,
7,07/15/24 04:30:00 PM,73.580,,,,,
8,07/15/24 04:45:00 PM,73.407,,,,,
9,07/15/24 05:00:00 PM,73.234,,,,,
10,07/15/24 05:15:00 PM,73.234,,,,,
11,07/15/24 05:30:00 PM,73.234,,,,,
12,07/15/24 05:45:00 PM,73.062,,,,,
13,07/15/24 06:00:00 PM,73.062,,,,,
14,07/15/24 06:15:00 PM,72.891,,,,,
15,07/15/24 06:30:00 PM,72.891,,,,,
16,07/15/24 06:45:00 PM,72.891,,,,,
17,07/15/24 07:00:00 PM,72.891,,,,,
18,07/15/24 07:15:00 PM,72.718,,,,,
19,07/15/24 07:30:00 PM,72.891,,,,,
20,07/15/24 07:45:00 PM,72.891,,,,,
21,07/15/24 08:00:00 PM,72.891,,,,,
22,07/15/24 08:15:00 PM,72.891,,,,,
23,07/15/24 08:30:00 PM,72.891,,,,,
24,07/15/24 08:45:00 PM,72.891,,,,,
25,07/15/24 09:00:00 PM,72.891,,,,,
26,07/15/24 09:15:00 PM,72.891,,,,,
27,07/15/24 09:30:00 PM,72.891,,,,,
28,07/15/24 09:45:00 PM,72.891,,,,,
29,07/15/24 10:00:00 PM,72.891,,,,,
30,07/15/24 10:15:00 PM,72.891,,,,,
31,07/15/24 10:30:00 PM,72.891,,,,,
32,07/15/24 10:45:00 PM,72.891,,,,,
33,07/15/24 11:00:00 PM,72.718,,,,,
34,07/15/24 11:15:00 PM,72.718,,,,,
35,07/15/24 11:30:00 PM,72.718,,,,,
36,07/15/24 11:45:00 PM,72.718,,,,,
37,07/16/24 12:00:00 AM,72.718,,,,,
38,07/16/24 12:15:00 AM,72.718,,,,,
39,07/16/24 12:30:00 AM,72.545,,,,,
40,07/16/24 12:45:00 AM,72.545,,,,,
41,07/16/24 01:00:00 AM,72.545,,,,,
42,07/16/24 01:15:00 AM,72.372,,,,,
43,07/16/24 01:30:00 AM,72.372,,,,,
44,07/16/24 01:45:00 AM,72.372,,,,,
45,07/16/24 02:00:00 AM,72.199,,,,,
46,07/16/24 02:15:00 AM,72.199,,,,,
47,07/16/24 02:30:00 AM,72.028,,,,,
48,07/16/24 02:45:00 AM,72.028,,,,,
49,07/16/24 03:00:00 AM,72.028,,,,,
50,07/16/24 03:15:00 AM,71.856,,,,,
51,07/16/24 03:30:00 AM,71.856,,,,,
52,07/16/24 03:45:00 AM,71.856,,,,,
53,07/16/24 04:00:00 AM,71.856,,,,,
54,07/16/24 04:15:00 AM,71.683,,,,,
55,07/16/24 04:30:00 AM,71.683,,,,,
56,07/16/24 04:45:00 AM,71.683,,,,,
